Inperson/ Online,Section,Score
I,4,91.2
I,3,75.7
I,4,91.2
I,1,78.8
I,3,63.46666667
I,3,85.23333333
I,4,95.83333333
I,4,83.8
I,3,82.36666667
I,4,89.53333333
I,1,91.8
I,1,99.16666667
I,3,80.6
I,5,90.36666667
I,4,88.7
I,4,80.46666667
I,4,83.1
I,5,72.73333333
I,5,77.36666667
I,4,88.7
I,4,75.96666667
I,5,81.2
I,4,96.8
I,4,100
I,1,87.96666667
I,3,82.03333333
I,1,99.16666667
I,1,64.53333333
I,5,87.96666667
I,5,95.96666667
I,3,95.13333333
I,4,99.16666667
I,3,62.13333333
I,4,90.36666667
I,1,86.9
I,5,95
I,4,81.2
I,3,90.23333333
I,4,64.16666667
I,3,94.3
I,3,88.8
I,4,70.7
I,3,94.4
I,5,77.36666667
I,3,96.8
I,5,75.96666667
I,5,75.6
O,3,40.3
O,3,62
O,1,67.05
O,4,70.15
O,3,72.1
O,1,75.2
O,1,75.2
O,4,78.3
O,5,78.3
O,5,79.45
O,1,79.45
O,4,79.45
O,1,79.45
O,3,81.4
O,3,81.4
O,4,82.55
O,4,82.55
O,1,84.5
O,4,84.5
O,5,85.65
O,5,87.6
O,3,87.6
O,5,90.7
O,4,90.7
O,4,93.8
O,5,93.8
O,3,93.8
O,4,96.9
O,3,96.9
O,4,100
