achr,astart,aend,bchr,bstart,bend,size,sizebins,binsize,dil_size1,dil_iter1,dil_size2,dil_iter2,inter_z_thresh,kernel_size
chr1,0.0,234624000.0,chr1,0.0,234624000.0,234624000.0,7332,32000.0,1,1,1,1,0.5,11
chr1,32000.0,288000.0,chr1,32000.0,256000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,2240000.0,2464000.0,chr1,32000.0,256000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,64000.0,224000.0,chr1,352000.0,480000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,352000.0,512000.0,chr1,320000.0,480000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,2272000.0,2432000.0,chr1,384000.0,512000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,576000.0,736000.0,chr1,544000.0,736000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,352000.0,480000.0,chr1,576000.0,704000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,128000.0,160000.0,chr1,640000.0,704000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,800000.0,960000.0,chr1,768000.0,960000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,1056000.0,1088000.0,chr1,800000.0,896000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,2336000.0,2464000.0,chr1,768000.0,960000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,608000.0,672000.0,chr1,832000.0,896000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,800000.0,928000.0,chr1,1024000.0,1120000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,1024000.0,1216000.0,chr1,1024000.0,1184000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,1248000.0,1568000.0,chr1,1248000.0,1568000.0,320000.0,10,32000.0,1,1,1,1,0.5,11
chr1,1856000.0,2016000.0,chr1,1312000.0,1472000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,1728000.0,1760000.0,chr1,1696000.0,1728000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,1312000.0,1504000.0,chr1,1760000.0,2016000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,1792000.0,2080000.0,chr1,1760000.0,2080000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,128000.0,192000.0,chr1,1888000.0,1984000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,1184000.0,1216000.0,chr1,1888000.0,1920000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,1696000.0,1760000.0,chr1,1888000.0,2016000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,210432000.0,210560000.0,chr1,2016000.0,2048000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,32000.0,288000.0,chr1,2240000.0,2464000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,2240000.0,2528000.0,chr1,2240000.0,2496000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,864000.0,928000.0,chr1,2368000.0,2400000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,2400000.0,2432000.0,chr1,2592000.0,2624000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,2592000.0,2688000.0,chr1,2592000.0,2656000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,2944000.0,3232000.0,chr1,2944000.0,3232000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,3264000.0,3296000.0,chr1,3232000.0,3264000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,3072000.0,3264000.0,chr1,3360000.0,3520000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,3360000.0,3648000.0,chr1,3328000.0,3648000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,128000.0,160000.0,chr1,3392000.0,3424000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,4128000.0,4352000.0,chr1,4128000.0,4320000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,4896000.0,4960000.0,chr1,4864000.0,4928000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,4960000.0,5184000.0,chr1,4960000.0,5184000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,5376000.0,5952000.0,chr1,5376000.0,5920000.0,576000.0,18,32000.0,1,1,1,1,0.5,11
chr1,6016000.0,6208000.0,chr1,6016000.0,6176000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,6304000.0,6368000.0,chr1,6080000.0,6112000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,6272000.0,6432000.0,chr1,6240000.0,6400000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,6048000.0,6144000.0,chr1,6272000.0,6400000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,6656000.0,6720000.0,chr1,6624000.0,6688000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,6848000.0,6976000.0,chr1,6848000.0,6944000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,7200000.0,7360000.0,chr1,7200000.0,7360000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,7520000.0,7712000.0,chr1,7520000.0,7712000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,7840000.0,7872000.0,chr1,7520000.0,7552000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,7904000.0,7936000.0,chr1,7680000.0,7776000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,7680000.0,7744000.0,chr1,7872000.0,7936000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,7904000.0,8096000.0,chr1,7904000.0,8064000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,7488000.0,7648000.0,chr1,8000000.0,8096000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
